WRINV_NO,FIRE_TYPE_NM,SMTPR_LCLSF_NM,SMTPR_SCLSF_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,DOW_NM,FRSTN_NM,CNTR_NM,RCPT_DT,DSPT_DT,GRNDS_ARVL_DT,BGNN_POTFR_DT,PRFECT_POTFR_DT,CBK_DT,DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,SO_AREA,FIRE_INSRNC_OBLG_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM
190120062707724,임야,,,0,0,0,0,일,동작소방서,노량진119안전센터,20190120042323,20190120042454,20190120042900,20190120044900,20190120044900,20190120054500,246,1200,서울특별시,동작구,11,4,0.0,"불꽃, 불티","불꽃, 불티",방화의심,방화의심,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,국유림,,N,N,N,국유림,산아래,-1.0,0~4 m/s,북서,39.0
190311055543741,임야,,,0,0,0,0,월,동작소방서,노량진119안전센터,20190311043409,20190311043447,20190311043900,20190311044900,20190311044900,20190311052500,253,600,서울특별시,동작구,4,2,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,공유림,,N,N,N,공유림,산아래,5.0,0~4 m/s,남서,60.0
190306044659961,임야,,,0,0,0,275,수,동작소방서,노량진119안전센터,20190306020227,20190306020300,20190306021343,20190306023800,20190306023800,20190306041437,643,1457,서울특별시,동작구,9,5,0.0,미상(발화원인),미상(발화원인),방화의심,방화의심,"종이,목재,건초등",나무,,,,,임야,산불,국유림,,N,N,N,국유림,산아래,7.0,0~4 m/s,남서,49.0
190331133539629,임야,,,0,0,0,1,일,동부소방서,용산119안전센터,20190331110313,20190331110411,20190331111349,20190331113918,20190331113918,20190331121818,578,1529,광주광역시,동구,5,2,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,국유림,,N,N,N,국유림,산중턱,0.3,9~12 m/s,북서,48.0
191231033646630,임야,,,0,0,0,1100,화,고성소방서,동광119안전센터,20191231001850,20191231001922,20191231003356,20191231024100,20191231043500,20191231090000,874,14464,강원특별자치도,고성군,26,10,0.0,작동기기,작동기기,전기적 요인,미확인단락,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,평지,-8.7,18 m/s 이상,서,36.0
191228104401687,임야,,,0,0,0,8300,금,중부소방서,언양119안전센터,20191227195751,20191227200110,20191227201035,20191228014053,20191228014053,20191228102011,565,19818,울산광역시,울주군,28,8,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",기타,기타,기타,기타,,,,,임야,산불,국유림,,N,N,N,국유림,산아래,2.3,0~4 m/s,북서,38.0
191231053420722,임야,,,0,0,0,0,화,강릉소방서,경포119안전센터,20191231025627,20191231025708,20191231030757,20191231035307,20191231045600,20191231070206,649,6483,강원특별자치도,강릉시,5,7,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산아래,-2.9,18 m/s 이상,남서,36.0
190101153915365,임야,,,0,0,0,550,화,나주소방서,남평119안전센터,20190101125342,20190101125348,20190101130108,20190101132826,20190101145226,20190101152826,440,6678,전라남도,나주시,23,12,16.0,"불꽃, 불티","불꽃, 불티",부주의,"불씨,불꽃,화원방치",쓰레기류,쓰레기,,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,평지,-1.2,0~4 m/s,북동,89.0
191223152721778,임야,,,0,0,0,0,월,남부소방서,감만119안전센터,20191223131941,20191223132057,20191223132610,20191223132610,20191223132610,20191223145455,313,0,부산광역시,남구,8,1,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등",나무,,,,,임야,산불,국유림,,N,N,N,국유림,산정상,10.2,0~4 m/s,서,35.0
191225182515000,임야,,,0,0,0,759,수,화순소방서,능주119안전센터,20191225152209,20191225152229,20191225154140,20191225160117,20191225171217,20191225174517,1151,5437,전라남도,화순군,23,15,0.0,"불꽃, 불티","불꽃, 불티",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산아래,12.9,0~4 m/s,북서,26.0
190307134222819,임야,,,0,0,0,82,목,고양소방서,삼송119안전센터,20190307120612,20190307120758,20190307121815,20190307122505,20190307122948,20190307130909,617,693,경기도,고양시 덕양구,13,9,3.0,"불꽃, 불티","불꽃, 불티",부주의,쓰레기 소각,"종이,목재,건초등",건초,,,"종이,목재,건초등",건초,임야,산불,사유림,,N,N,N,사유림,산아래,11.7,0~4 m/s,북서,43.0
191113172844991,임야,,,0,0,0,0,수,화천소방서,화천119안전센터,20191113122230,20191113122612,20191113125521,20191113153005,20191113160120,20191113163505,1749,11159,강원특별자치도,화천군,21,21,0.0,"폭발물, 폭죽","폭발물, 폭죽",부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,국유림,,N,N,N,국유림,산중턱,8.3,0~4 m/s,북,80.0
190919192829112,임야,,,0,0,0,0,목,보령소방서,오천119안전센터,20190919103840,20190919104034,20190919104300,20190919132000,20190919165000,20190919171000,146,22020,충청남도,보령시,32,29,0.0,"불꽃, 불티","불꽃, 불티",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산아래,21.6,0~4 m/s,북동,56.0
191030025644403,임야,,,0,0,0,0,수,봉화소방서,춘양119안전센터,20191030000200,20191030000200,20191030002723,20191030003208,20191030011159,20191030021417,1523,2676,경상북도,봉화군,50,16,0.0,"폭발물, 폭죽","폭발물, 폭죽",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,산중턱,3.8,9~12 m/s,북,98.0
191214171308750,임야,,,0,0,0,0,토,상주소방서,화서119안전센터,20191214152439,20191214152439,20191214154032,20191214162826,20191214162826,20191214162826,953,2874,경상북도,상주시,26,13,11.0,"불꽃, 불티","불꽃, 불티",부주의,쓰레기 소각,"종이,목재,건초등","풀, 나뭇잎",,,"종이,목재,건초등","풀, 나뭇잎",임야,산불,사유림,,N,N,N,사유림,평지,7.0,0~4 m/s,북,47.0
191030163730071,임야,,,0,0,0,1752,수,고령소방서,대가야119안전센터,20191030125803,20191030125910,20191030131411,20191030141120,20191030142038,20191030143702,901,3987,경상북도,고령군,8,8,0.0,"담뱃불, 라이터불","담뱃불, 라이터불",부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎",,,,,임야,산불,사유림,,N,N,N,사유림,산정상,16.8,0~4 m/s,북동,44.0
191026152845657,임야,,,0,0,0,1,토,상주소방서,화서119안전센터,20191026121417,20191026121537,20191026122621,20191026123310,20191026134056,20191026142914,644,4475,경상북도,상주시,31,0,3.0,"불꽃, 불티","불꽃, 불티",부주의,"불씨,불꽃,화원방치",쓰레기류,기타 쓰레기,,,,,임야,산불,사유림,,N,N,N,사유림,산아래,14.8,0~4 m/s,북서,60.0
