DSPT_REQ_HR,FIRE_SUPESN_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff
246,1200,8,66,11,4,-1.0,1,1,1,-1.0,2.0,7,39.0,1,337.0,1,1,91.0
253,600,8,66,4,2,-1.0,0,0,1,5.0,2.0,3,60.0,1,291.0,1,3,38.0
643,1457,8,66,9,5,-1.0,1,1,1,7.0,2.0,3,49.0,1,676.0,1,3,33.0
578,1529,4,62,5,2,-1.0,1,1,3,0.3,10.5,7,48.0,1,636.0,0,3,58.0
874,14464,0,16,26,10,-1.0,2,2,4,-8.7,20.0,8,36.0,1,906.0,1,12,32.0
565,19818,10,150,28,8,-1.0,1,1,1,2.3,2.0,7,38.0,1,764.0,0,12,199.0
649,6483,0,4,5,7,-1.0,2,2,1,-2.9,20.0,3,36.0,1,690.0,1,12,41.0
440,6678,12,47,23,12,16.0,2,2,4,-1.2,2.0,6,89.0,1,446.0,0,1,6.0
313,0,7,48,8,1,-1.0,1,1,2,10.2,2.0,8,35.0,1,389.0,0,12,76.0
1151,5437,12,219,23,15,-1.0,2,2,1,12.9,2.0,7,26.0,1,1171.0,0,12,20.0
617,693,1,17,13,9,3.0,2,2,1,11.7,2.0,7,43.0,1,723.0,0,3,106.0
1749,11159,0,220,21,21,-1.0,1,1,3,8.3,2.0,5,80.0,1,1971.0,0,11,222.0
146,22020,15,74,32,29,-1.0,2,2,1,21.6,2.0,6,56.0,1,260.0,0,9,114.0
1523,2676,3,77,50,16,-1.0,2,2,3,3.8,10.5,5,98.0,1,1523.0,1,10,0.0
953,2874,3,88,26,13,11.0,2,2,4,7.0,2.0,5,47.0,1,953.0,0,12,0.0
901,3987,3,15,8,8,-1.0,2,2,2,16.8,2.0,6,44.0,1,968.0,0,10,67.0
644,4475,3,88,31,0,3.0,2,2,1,14.8,2.0,7,60.0,1,724.0,0,10,80.0
1037,2488,2,181,12,11,-1.0,2,2,3,20.0,2.0,6,43.0,1,1104.0,0,10,67.0
546,2775,1,123,11,2,-1.0,2,2,1,8.9,2.0,3,47.0,1,617.0,0,3,71.0
913,6320,2,211,13,12,-1.0,2,2,3,18.8,2.0,5,26.0,1,913.0,0,11,0.0
318,3472,8,30,2,1,-1.0,2,2,1,12.2,2.0,3,50.0,1,389.0,0,11,71.0
963,1235,2,73,11,11,-1.0,2,2,1,8.4,2.0,2,24.6,1,963.0,0,12,0.0
1381,994,1,218,25,19,13.0,2,2,1,23.3,2.0,8,56.0,1,1499.0,0,6,118.0
280,3111,15,39,18,18,4.0,1,1,1,9.1,2.0,2,50.0,1,326.0,0,12,46.0
705,2291,13,51,30,7,-1.0,2,2,4,15.0,2.0,2,42.0,1,734.0,0,11,29.0
948,5656,4,27,17,7,-1.0,1,1,3,17.1,2.0,4,57.0,1,1008.0,0,10,60.0
1323,3847,15,54,30,18,-1.0,2,2,1,7.6,2.0,5,0.0,1,1426.0,0,12,103.0
241,4589,13,163,34,4,-1.0,2,2,1,11.8,2.0,5,27.0,1,301.0,0,2,60.0
360,4867,0,135,9,9,4.0,2,2,1,23.4,2.0,4,52.0,1,431.0,0,7,71.0
1227,4686,3,15,15,15,15.0,2,2,2,8.4,2.0,3,24.0,1,1352.0,0,1,125.0
592,4200,15,200,27,6,-1.0,0,0,1,10.7,2.0,3,29.0,1,660.0,0,3,68.0
467,757,1,97,4,3,-1.0,1,1,3,23.8,2.0,2,70.0,1,538.0,0,8,71.0
537,3300,12,166,38,23,6.0,2,2,3,16.0,2.0,7,60.0,1,615.0,0,11,78.0
243,1740,8,68,7,2,-1.0,1,1,3,16.5,2.0,7,48.0,1,375.0,1,11,132.0
780,1348,1,96,10,7,-1.0,2,2,1,12.5,2.0,7,20.0,1,824.0,0,3,44.0
240,2607,15,200,10,2,-1.0,2,2,4,3.5,2.0,3,36.0,1,278.0,0,1,38.0
1005,1426,2,184,12,5,-1.0,0,0,2,11.4,2.0,7,0.0,1,1033.0,0,3,28.0
356,23673,7,215,7,2,-1.0,0,0,1,15.0,2.0,8,13.0,1,429.0,0,4,73.0
460,500,1,125,10,10,3.0,2,2,1,-3.2,2.0,2,35.0,1,548.0,0,2,88.0
527,1622,9,0,10,8,-1.0,2,2,3,17.3,2.0,7,60.0,1,751.0,0,10,224.0
305,802,7,62,3,1,-1.0,2,2,1,14.9,2.0,7,47.0,1,396.0,0,10,91.0
334,496,1,114,1,1,-1.0,0,0,3,-1.5,2.0,4,99.0,1,369.0,1,3,35.0
1016,7395,12,58,14,12,5.0,2,2,3,8.6,2.0,7,25.0,1,1096.0,0,1,80.0
657,737,1,109,18,7,-1.0,2,2,1,26.0,2.0,5,98.0,1,757.0,0,7,100.0
868,5916,7,83,8,6,-1.0,2,2,3,5.3,2.0,7,23.0,1,898.0,0,2,30.0
3681,1219,2,201,30,25,-1.0,2,2,4,7.4,10.5,8,71.0,0,3922.0,0,3,241.0
222,454,3,151,47,1,-1.0,2,2,3,10.6,2.0,2,61.0,1,267.0,0,12,45.0
208,2429,12,129,10,10,3.0,2,2,1,26.0,2.0,3,63.0,1,298.0,0,6,90.0
192,1026,1,218,10,10,3.0,2,2,3,27.1,2.0,3,63.0,1,321.0,0,6,129.0
363,1834,11,8,12,1,-1.0,2,2,3,30.4,6.5,2,38.0,1,417.0,0,7,54.0
254,7344,0,168,18,18,1.0,2,2,3,29.0,2.0,1,21.0,1,309.0,0,6,55.0
300,660,15,92,20,15,4.0,2,2,4,28.2,6.5,4,42.0,1,422.0,0,7,122.0
362,1053,1,123,6,2,-1.0,2,2,1,12.9,2.0,1,20.0,1,429.0,0,3,67.0
1011,1887,12,219,9,5,-1.0,2,2,3,10.0,2.0,7,10.0,1,1125.0,0,1,114.0
892,31813,15,111,7,7,-1.0,1,1,3,14.9,2.0,8,29.0,1,965.0,0,4,73.0
575,751,1,121,5,5,-1.0,2,2,1,25.1,2.0,3,60.0,1,719.0,0,9,144.0
1297,1070,10,82,11,8,-1.0,2,2,3,23.2,6.5,1,68.0,1,1347.0,0,5,50.0
321,5322,1,202,19,2,-1.0,1,1,2,19.3,2.0,4,87.0,1,399.0,1,9,78.0
703,508,1,128,4,4,-1.0,2,2,1,9.2,2.0,6,36.0,1,787.0,0,3,84.0
642,1525,1,160,8,8,14.0,1,1,1,0.0,-1.0,0,0.0,1,702.0,0,3,60.0
1100,3444,3,206,12,7,-1.0,2,2,2,27.0,6.5,8,30.0,1,1134.0,0,4,34.0
548,5323,1,208,9,5,-1.0,2,2,1,26.3,2.0,2,47.0,1,676.0,0,7,128.0
934,4363,9,0,9,7,-1.0,2,2,1,29.9,2.0,4,36.0,1,1045.0,0,7,111.0
1763,12900,1,202,12,12,-1.0,1,1,1,24.5,2.0,8,38.0,1,1834.0,0,4,71.0
299,0,8,5,1,1,-1.0,0,0,3,23.2,2.0,7,44.0,1,422.0,0,9,123.0
1434,1487,3,206,25,20,5.0,1,1,1,10.6,6.5,7,16.0,1,1651.0,0,4,217.0
1089,1487,3,72,20,20,12.0,2,2,3,17.7,6.5,8,0.0,1,1124.0,0,10,35.0
286,6125,2,9,7,3,-1.0,2,2,3,12.6,2.0,8,56.0,1,377.0,0,3,91.0
853,26845,1,17,9,10,6.0,2,2,3,24.4,2.0,7,24.0,1,913.0,0,5,60.0
455,1163,11,8,24,12,5.0,2,2,1,15.0,6.5,3,58.0,1,500.0,0,11,45.0
913,2104,13,163,44,10,-1.0,2,2,1,23.4,2.0,5,10.0,1,1000.0,0,4,87.0
446,30344,15,74,9,6,-1.0,0,0,2,6.2,2.0,6,61.0,1,547.0,1,11,101.0
490,4560,16,194,21,9,-1.0,2,2,3,29.7,2.0,7,65.0,1,617.0,0,6,127.0
670,4396,1,123,29,21,7.0,1,1,1,17.6,2.0,7,16.0,1,767.0,0,5,97.0
415,3027,11,89,4,3,-1.0,2,2,1,12.8,2.0,5,55.0,1,476.0,1,5,61.0
812,8982,12,219,7,21,-1.0,2,2,3,6.5,2.0,8,29.0,1,835.0,0,2,23.0
643,120,1,160,28,7,2.0,2,2,1,26.5,2.0,8,54.0,1,745.0,0,7,102.0
497,4080,12,32,37,4,-1.0,2,2,1,2.4,2.0,7,45.0,1,573.0,0,1,76.0
1016,6521,12,219,27,20,10.0,2,2,2,22.5,2.0,8,44.0,1,1148.0,0,4,132.0
617,1174,1,125,5,5,-1.0,2,2,1,32.0,2.0,7,14.0,1,682.0,0,5,65.0
715,7450,12,22,31,7,-1.0,2,2,2,7.1,2.0,7,34.0,1,735.0,0,3,20.0
454,5483,1,205,34,20,8.0,1,1,1,16.0,2.0,7,26.0,1,563.0,0,5,109.0
323,420,1,160,10,10,2.0,2,2,1,23.8,2.0,8,60.0,1,383.0,1,6,60.0
412,16224,3,15,11,11,1.0,2,2,2,25.8,2.0,6,49.0,1,533.0,0,5,121.0
582,2775,10,62,12,10,-1.0,1,1,2,4.6,-1.0,5,18.0,1,707.0,0,2,125.0
1477,7584,13,144,42,18,25.0,2,2,1,13.3,2.0,6,37.0,1,1477.0,0,11,0.0
1024,1260,1,29,10,5,-1.0,2,2,1,5.0,2.0,8,19.0,1,1084.0,0,1,60.0
932,149,11,173,7,3,-1.0,2,2,3,16.6,2.0,3,40.0,1,1006.0,0,10,74.0
572,304,1,115,5,5,-1.0,2,2,3,-2.5,2.0,3,0.0,1,662.0,1,11,90.0
182,5713,16,193,14,2,-1.0,2,2,3,0.0,-1.0,0,0.0,1,245.0,0,12,63.0
687,4279,3,112,33,12,-1.0,2,2,1,11.9,2.0,3,66.0,1,738.0,0,11,51.0
1205,3487,1,1,27,27,14.0,2,2,1,14.0,6.5,7,29.0,1,1283.0,0,11,78.0
323,1935,15,74,19,5,-1.0,2,2,3,19.9,2.0,7,79.0,1,411.0,0,6,88.0
368,1001,12,7,9,9,3.0,2,2,1,29.0,2.0,1,41.0,1,398.0,0,6,30.0
988,4101,1,117,6,4,-1.0,1,1,2,20.2,2.0,3,61.0,1,1072.0,0,10,84.0
962,3169,1,97,4,6,-1.0,2,2,3,28.3,2.0,6,42.0,1,1047.0,0,7,85.0
478,5651,0,135,5,5,-1.0,2,2,2,31.0,2.0,8,28.0,1,519.0,0,5,41.0
384,321,1,106,2,2,-1.0,2,2,1,22.3,2.0,6,0.0,1,423.0,0,10,39.0
621,4904,12,129,8,8,8.0,2,2,1,26.7,2.0,6,48.0,1,681.0,0,5,60.0
911,541,1,115,16,16,-1.0,2,2,1,-1.1,6.5,8,25.0,1,1012.0,0,1,101.0
295,2745,15,92,17,5,-1.0,2,2,3,23.1,2.0,4,57.0,1,338.0,1,7,43.0
238,870,1,29,13,3,-1.0,2,2,1,15.6,2.0,8,21.0,1,293.0,0,4,55.0
1403,9194,1,159,12,9,-1.0,2,2,3,28.7,2.0,2,48.0,1,1533.0,0,7,130.0
1531,4140,12,108,8,16,-1.0,2,2,2,4.0,2.0,7,36.0,1,1631.0,1,4,100.0
601,120,1,160,12,4,-1.0,2,2,1,3.1,2.0,5,0.0,1,722.0,0,2,121.0
140,6490,3,149,99,2,28.0,1,1,3,26.8,2.0,3,53.0,1,175.0,0,8,35.0
420,1860,15,200,14,6,-1.0,2,2,1,20.5,2.0,7,60.0,1,441.0,0,5,21.0
344,4979,1,148,14,2,-1.0,2,2,3,-1.0,2.0,6,50.0,1,428.0,0,1,84.0
931,3231,3,37,26,7,-1.0,2,2,1,16.9,2.0,6,31.0,1,952.0,0,10,21.0
440,1674,0,217,8,8,-1.0,1,1,3,1.4,2.0,7,32.0,1,440.0,0,12,0.0
