DSPT_REQ_HR,CTPV_NM,SGG_NM,FRSTN_GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,FCLT_PLC_SCLSF_NM,FND_FIRE_SE_NM,FND_IGTN_PSTN_NM,HR_UNIT_ARTMP,HR_UNIT_WSPD_INFO,WNDRCT_BRNG,HR_UNIT_HUM,golden_time_under_50min,arrival_time_diff,is_night,month_rcpt,dispatch_time_diff,FIRE_SUPESN_HR_log,DSPT_REQ_HR_log,FRSTN_GRNDS_DSTNC_log,CNTR_GRNDS_DSTNC_log,LFDAU_GRNDS_DSTNC_log,arrival_time_diff_log,dispatch_time_diff_log
246,8,66,11,4,-1.0,1,1,1,-1.0,2.0,7,39.0,1,337.0,1,1,91.0,7.0909098220799835,5.5093883366279774,2.4849066497880004,1.6094379124341003,-inf,5.823045895483019,4.5217885770490405
253,8,66,4,2,-1.0,0,0,1,5.0,2.0,3,60.0,1,291.0,1,3,38.0,6.398594934535208,5.537334267018537,1.6094379124341003,1.0986122886681098,-inf,5.676753802268282,3.6635616461296463
643,8,66,9,5,-1.0,1,1,1,7.0,2.0,3,49.0,1,676.0,1,3,33.0,7.284820912568604,6.467698726104354,2.302585092994046,1.791759469228055,-inf,6.517671272912275,3.5263605246161616
578,4,62,5,2,-1.0,1,1,3,0.3,10.5,7,48.0,1,636.0,0,3,58.0,7.333023014386481,6.361302477572996,1.791759469228055,1.0986122886681098,-inf,6.456769655572163,4.07753744390572
874,0,16,26,10,-1.0,2,2,4,-8.7,20.0,8,36.0,1,906.0,1,12,32.0,9.579487217410236,6.774223886357614,3.295836866004329,2.3978952727983707,-inf,6.810142450115136,3.4965075614664802
565,10,150,28,8,-1.0,1,1,1,2.3,2.0,7,38.0,1,764.0,0,12,199.0,9.894396352524348,6.338594078203183,3.367295829986474,2.1972245773362196,-inf,6.639875833826536,5.298317366548036
649,0,4,5,7,-1.0,2,2,1,-2.9,20.0,3,36.0,1,690.0,1,12,41.0,8.777092882855566,6.476972362889683,1.791759469228055,2.0794415416798357,-inf,6.53813982376767,3.7376696182833684
440,12,47,23,12,16.0,2,2,4,-1.2,2.0,6,89.0,1,446.0,0,1,6.0,8.806723554725636,6.089044875446846,3.1780538303479458,2.5649493574615367,2.833213344056216,6.102558594613569,1.9459101490553132
313,7,48,8,1,-1.0,1,1,2,10.2,2.0,8,35.0,1,389.0,0,12,76.0,0.0,5.749392985908253,2.1972245773362196,0.6931471805599453,-inf,5.966146739123692,4.343805421853684
1151,12,219,23,15,-1.0,2,2,1,12.9,2.0,7,26.0,1,1171.0,0,12,20.0,8.601166625192416,7.049254841255837,3.1780538303479458,2.772588722239781,-inf,7.066466970136958,3.044522437723423
617,1,17,13,9,3.0,2,2,1,11.7,2.0,7,43.0,1,723.0,0,3,106.0,6.542471960506805,6.42648845745769,2.6390573296152584,2.302585092994046,1.3862943611198906,6.584791392385716,4.672828834461906
1749,0,220,21,21,-1.0,1,1,3,8.3,2.0,5,80.0,1,1971.0,0,11,222.0,9.320091235935301,7.4673710669175595,3.091042453358316,3.091042453358316,-inf,7.586803535162581,5.407171771460119
146,15,74,32,29,-1.0,2,2,1,21.6,2.0,6,56.0,1,260.0,0,9,114.0,9.999751822506193,4.990432586778736,3.4965075614664802,3.4011973816621555,-inf,5.564520407322694,4.74493212836325
1523,3,77,50,16,-1.0,2,2,3,3.8,10.5,5,98.0,1,1523.0,1,10,0.0,7.892452043520352,7.329093736246592,3.9318256327243257,2.833213344056216,-inf,7.329093736246592,0.0
953,3,88,26,13,11.0,2,2,4,7.0,2.0,5,47.0,1,953.0,0,12,0.0,7.963807953231451,6.860663671448287,3.295836866004329,2.6390573296152584,2.4849066497880004,6.860663671448287,0.0
901,3,15,8,8,-1.0,2,2,2,16.8,2.0,6,44.0,1,968.0,0,10,67.0,8.291045131081729,6.804614520062624,2.1972245773362196,2.1972245773362196,-inf,6.876264611890766,4.219507705176107
644,3,88,31,0,3.0,2,2,1,14.8,2.0,7,60.0,1,724.0,0,10,80.0,8.406485069431817,6.4692503167957724,3.4657359027997265,0.0,1.3862943611198906,6.586171654854675,4.394449154672439
1037,2,181,12,11,-1.0,2,2,3,20.0,2.0,6,43.0,1,1104.0,0,10,67.0,7.819636302367592,6.945051063725834,2.5649493574615367,2.4849066497880004,-inf,7.007600613951853,4.219507705176107
546,1,123,11,2,-1.0,2,2,1,8.9,2.0,3,47.0,1,617.0,0,3,71.0,7.9287663216266955,6.304448802421981,2.4849066497880004,1.0986122886681098,-inf,6.42648845745769,4.276666119016055
913,2,211,13,12,-1.0,2,2,3,18.8,2.0,5,26.0,1,913.0,0,11,0.0,8.751632702472298,6.81783057145415,2.6390573296152584,2.5649493574615367,-inf,6.81783057145415,0.0
